FEATURE,VOCAB_SIZE,COLOUR_SPACE,CLASSIFIER, k/Lambda,accuracy
bag of sift, 10, GRAYSCALE, support vector machine, 10.000000, 0.331333 
bag of sift, 10, GRAYSCALE, support vector machine, 1.000000, 0.302667 
bag of sift, 10, GRAYSCALE, support vector machine, 0.100000, 0.320667 
bag of sift, 10, GRAYSCALE, support vector machine, 0.010000, 0.306000 
bag of sift, 10, GRAYSCALE, support vector machine, 0.001000, 0.324667 
bag of sift, 10, GRAYSCALE, support vector machine, 0.000100, 0.286667 
bag of sift, 10, GRAYSCALE, support vector machine, 0.000010, 0.315333 
bag of sift, 10, GRAYSCALE, nearest neighbor, 1, 0.311333 
bag of sift, 10, GRAYSCALE, nearest neighbor, 2, 0.278667 
bag of sift, 10, GRAYSCALE, nearest neighbor, 3, 0.309333 
bag of sift, 10, GRAYSCALE, nearest neighbor, 4, 0.323333 
bag of sift, 10, GRAYSCALE, nearest neighbor, 5, 0.334667 
bag of sift, 10, GRAYSCALE, nearest neighbor, 6, 0.336000 
bag of sift, 10, GRAYSCALE, nearest neighbor, 7, 0.342667 
bag of sift, 10, GRAYSCALE, nearest neighbor, 8, 0.356667 
bag of sift, 10, GRAYSCALE, nearest neighbor, 9, 0.362667 
bag of sift, 10, GRAYSCALE, nearest neighbor, 10, 0.358667 
bag of sift, 10, GRAYSCALE, nearest neighbor, 11, 0.358000 
bag of sift, 10, GRAYSCALE, nearest neighbor, 12, 0.358000 
bag of sift, 10, GRAYSCALE, nearest neighbor, 13, 0.354000 
bag of sift, 10, GRAYSCALE, nearest neighbor, 14, 0.356000 
bag of sift, 10, GRAYSCALE, nearest neighbor, 15, 0.354000 
bag of sift, 10, RGB, support vector machine, 10.000000, 0.300000 
bag of sift, 10, RGB, support vector machine, 1.000000, 0.315333 
bag of sift, 10, RGB, support vector machine, 0.100000, 0.288667 
bag of sift, 10, RGB, support vector machine, 0.010000, 0.353333 
bag of sift, 10, RGB, support vector machine, 0.001000, 0.328000 
bag of sift, 10, RGB, support vector machine, 0.000100, 0.330667 
bag of sift, 10, RGB, support vector machine, 0.000010, 0.333333 
bag of sift, 10, RGB, nearest neighbor, 1, 0.331333 
bag of sift, 10, RGB, nearest neighbor, 2, 0.295333 
bag of sift, 10, RGB, nearest neighbor, 3, 0.333333 
bag of sift, 10, RGB, nearest neighbor, 4, 0.350000 
bag of sift, 10, RGB, nearest neighbor, 5, 0.369333 
bag of sift, 10, RGB, nearest neighbor, 6, 0.359333 
bag of sift, 10, RGB, nearest neighbor, 7, 0.375333 
bag of sift, 10, RGB, nearest neighbor, 8, 0.371333 
bag of sift, 10, RGB, nearest neighbor, 9, 0.379333 
bag of sift, 10, RGB, nearest neighbor, 10, 0.382667 
bag of sift, 10, RGB, nearest neighbor, 11, 0.383333 
bag of sift, 10, RGB, nearest neighbor, 12, 0.387333 
bag of sift, 10, RGB, nearest neighbor, 13, 0.381333 
bag of sift, 10, RGB, nearest neighbor, 14, 0.384000 
bag of sift, 10, RGB, nearest neighbor, 15, 0.378000 
bag of sift, 20, GRAYSCALE, support vector machine, 10.000000, 0.354667 
bag of sift, 20, GRAYSCALE, support vector machine, 1.000000, 0.394000 
bag of sift, 20, GRAYSCALE, support vector machine, 0.100000, 0.440000 
bag of sift, 20, GRAYSCALE, support vector machine, 0.010000, 0.405333 
bag of sift, 20, GRAYSCALE, support vector machine, 0.001000, 0.425333 
bag of sift, 20, GRAYSCALE, support vector machine, 0.000100, 0.417333 
bag of sift, 20, GRAYSCALE, support vector machine, 0.000010, 0.374667 
bag of sift, 20, GRAYSCALE, nearest neighbor, 1, 0.386667 
bag of sift, 20, GRAYSCALE, nearest neighbor, 2, 0.352000 
bag of sift, 20, GRAYSCALE, nearest neighbor, 3, 0.372667 
bag of sift, 20, GRAYSCALE, nearest neighbor, 4, 0.406000 
bag of sift, 20, GRAYSCALE, nearest neighbor, 5, 0.414000 
bag of sift, 20, GRAYSCALE, nearest neighbor, 6, 0.409333 
bag of sift, 20, GRAYSCALE, nearest neighbor, 7, 0.421333 
bag of sift, 20, GRAYSCALE, nearest neighbor, 8, 0.425333 
bag of sift, 20, GRAYSCALE, nearest neighbor, 9, 0.421333 
bag of sift, 20, GRAYSCALE, nearest neighbor, 10, 0.426000 
bag of sift, 20, GRAYSCALE, nearest neighbor, 11, 0.427333 
bag of sift, 20, GRAYSCALE, nearest neighbor, 12, 0.431333 
bag of sift, 20, GRAYSCALE, nearest neighbor, 13, 0.432000 
bag of sift, 20, GRAYSCALE, nearest neighbor, 14, 0.432000 
bag of sift, 20, GRAYSCALE, nearest neighbor, 15, 0.436667 
bag of sift, 20, RGB, support vector machine, 10.000000, 0.370667 
bag of sift, 20, RGB, support vector machine, 1.000000, 0.383333 
bag of sift, 20, RGB, support vector machine, 0.100000, 0.398000 
bag of sift, 20, RGB, support vector machine, 0.010000, 0.420000 
bag of sift, 20, RGB, support vector machine, 0.001000, 0.378667 
bag of sift, 20, RGB, support vector machine, 0.000100, 0.390667 
bag of sift, 20, RGB, support vector machine, 0.000010, 0.398000 
bag of sift, 20, RGB, nearest neighbor, 1, 0.368667 
bag of sift, 20, RGB, nearest neighbor, 2, 0.347333 
bag of sift, 20, RGB, nearest neighbor, 3, 0.366667 
bag of sift, 20, RGB, nearest neighbor, 4, 0.384667 
bag of sift, 20, RGB, nearest neighbor, 5, 0.405333 
bag of sift, 20, RGB, nearest neighbor, 6, 0.409333 
bag of sift, 20, RGB, nearest neighbor, 7, 0.406000 
bag of sift, 20, RGB, nearest neighbor, 8, 0.408667 
bag of sift, 20, RGB, nearest neighbor, 9, 0.408000 
bag of sift, 20, RGB, nearest neighbor, 10, 0.418000 
bag of sift, 20, RGB, nearest neighbor, 11, 0.417333 
bag of sift, 20, RGB, nearest neighbor, 12, 0.419333 
bag of sift, 20, RGB, nearest neighbor, 13, 0.416667 
bag of sift, 20, RGB, nearest neighbor, 14, 0.413333 
bag of sift, 20, RGB, nearest neighbor, 15, 0.411333 
bag of sift, 30, GRAYSCALE, support vector machine, 10.000000, 0.414667 
bag of sift, 30, GRAYSCALE, support vector machine, 1.000000, 0.419333 
bag of sift, 30, GRAYSCALE, support vector machine, 0.100000, 0.418000 
bag of sift, 30, GRAYSCALE, support vector machine, 0.010000, 0.428000 
bag of sift, 30, GRAYSCALE, support vector machine, 0.001000, 0.442667 
bag of sift, 30, GRAYSCALE, support vector machine, 0.000100, 0.401333 
bag of sift, 30, GRAYSCALE, support vector machine, 0.000010, 0.422667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 1, 0.415333 
bag of sift, 30, GRAYSCALE, nearest neighbor, 2, 0.370667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 3, 0.398667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 4, 0.420667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 5, 0.440667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 6, 0.446667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 7, 0.435333 
