FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,COLOUR_SPACE,CLASSIFIER, k/Lambda,accuracy
bag of sift, 10, 5, GRAYSCALE, support vector machine, 10.000000, 0.187333 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 1.000000, 0.074667 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.100000, 0.266000 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.010000, 0.212000 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.001000, 0.116667 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000100, 0.185333 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000010, 0.138000 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000110, 0.089333 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000010, 0.164000 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000020, 0.206000 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000030, 0.314000 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000040, 0.088667 
bag of sift, 10, 5, GRAYSCALE, support vector machine, 0.000050, 0.158667 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.338000 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.328000 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.353333 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.364667 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.390667 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.390667 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.397333 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.393333 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.390000 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.386667 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.391333 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.397333 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.403333 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.402667 
bag of sift, 10, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.408000 
bag of sift, 10, 5, RGB, support vector machine, 10.000000, 0.083333 
bag of sift, 10, 5, RGB, support vector machine, 1.000000, 0.150000 
bag of sift, 10, 5, RGB, support vector machine, 0.100000, 0.212000 
bag of sift, 10, 5, RGB, support vector machine, 0.010000, 0.138000 
bag of sift, 10, 5, RGB, support vector machine, 0.001000, 0.160667 
bag of sift, 10, 5, RGB, support vector machine, 0.000100, 0.233333 
bag of sift, 10, 5, RGB, support vector machine, 0.000010, 0.133333 
bag of sift, 10, 5, RGB, support vector machine, 0.000110, 0.280667 
bag of sift, 10, 5, RGB, support vector machine, 0.000010, 0.126667 
bag of sift, 10, 5, RGB, support vector machine, 0.000020, 0.118667 
bag of sift, 10, 5, RGB, support vector machine, 0.000030, 0.255333 
bag of sift, 10, 5, RGB, support vector machine, 0.000040, 0.254000 
bag of sift, 10, 5, RGB, support vector machine, 0.000050, 0.128000 
bag of sift, 10, 5, RGB, nearest neighbor, 1.000000, 0.346667 
bag of sift, 10, 5, RGB, nearest neighbor, 2.000000, 0.342667 
bag of sift, 10, 5, RGB, nearest neighbor, 3.000000, 0.352667 
bag of sift, 10, 5, RGB, nearest neighbor, 4.000000, 0.372667 
bag of sift, 10, 5, RGB, nearest neighbor, 5.000000, 0.383333 
bag of sift, 10, 5, RGB, nearest neighbor, 6.000000, 0.398000 
bag of sift, 10, 5, RGB, nearest neighbor, 7.000000, 0.402667 
bag of sift, 10, 5, RGB, nearest neighbor, 8.000000, 0.394667 
bag of sift, 10, 5, RGB, nearest neighbor, 9.000000, 0.396667 
bag of sift, 10, 5, RGB, nearest neighbor, 10.000000, 0.397333 
bag of sift, 10, 5, RGB, nearest neighbor, 11.000000, 0.406667 
bag of sift, 10, 5, RGB, nearest neighbor, 12.000000, 0.400000 
bag of sift, 10, 5, RGB, nearest neighbor, 13.000000, 0.398667 
bag of sift, 10, 5, RGB, nearest neighbor, 14.000000, 0.401333 
bag of sift, 10, 5, RGB, nearest neighbor, 15.000000, 0.402667 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 10.000000, 0.312000 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 1.000000, 0.154667 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.100000, 0.237333 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.010000, 0.380000 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.001000, 0.240667 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000100, 0.214000 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000010, 0.404667 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000110, 0.367333 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000010, 0.337333 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000020, 0.263333 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000030, 0.218000 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000040, 0.292000 
bag of sift, 20, 5, GRAYSCALE, support vector machine, 0.000050, 0.259333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.414000 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.388000 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.415333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.429333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.441333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.439333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.440000 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.448000 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.447333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.452667 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.452667 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.445333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.453333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.445333 
bag of sift, 20, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.440000 
bag of sift, 20, 5, RGB, support vector machine, 10.000000, 0.162000 
bag of sift, 20, 5, RGB, support vector machine, 1.000000, 0.250000 
bag of sift, 20, 5, RGB, support vector machine, 0.100000, 0.182667 
bag of sift, 20, 5, RGB, support vector machine, 0.010000, 0.343333 
bag of sift, 20, 5, RGB, support vector machine, 0.001000, 0.398000 
bag of sift, 20, 5, RGB, support vector machine, 0.000100, 0.256667 
bag of sift, 20, 5, RGB, support vector machine, 0.000010, 0.358667 
bag of sift, 20, 5, RGB, support vector machine, 0.000110, 0.344667 
bag of sift, 20, 5, RGB, support vector machine, 0.000010, 0.299333 
bag of sift, 20, 5, RGB, support vector machine, 0.000020, 0.173333 
bag of sift, 20, 5, RGB, support vector machine, 0.000030, 0.298667 
bag of sift, 20, 5, RGB, support vector machine, 0.000040, 0.268000 
bag of sift, 20, 5, RGB, support vector machine, 0.000050, 0.366667 
bag of sift, 20, 5, RGB, nearest neighbor, 1.000000, 0.428667 
bag of sift, 20, 5, RGB, nearest neighbor, 2.000000, 0.384667 
bag of sift, 20, 5, RGB, nearest neighbor, 3.000000, 0.414000 
bag of sift, 20, 5, RGB, nearest neighbor, 4.000000, 0.426667 
bag of sift, 20, 5, RGB, nearest neighbor, 5.000000, 0.436000 
bag of sift, 20, 5, RGB, nearest neighbor, 6.000000, 0.436667 
bag of sift, 20, 5, RGB, nearest neighbor, 7.000000, 0.444000 
bag of sift, 20, 5, RGB, nearest neighbor, 8.000000, 0.444000 
bag of sift, 20, 5, RGB, nearest neighbor, 9.000000, 0.446000 
bag of sift, 20, 5, RGB, nearest neighbor, 10.000000, 0.448667 
bag of sift, 20, 5, RGB, nearest neighbor, 11.000000, 0.452667 
bag of sift, 20, 5, RGB, nearest neighbor, 12.000000, 0.456000 
bag of sift, 20, 5, RGB, nearest neighbor, 13.000000, 0.455333 
bag of sift, 20, 5, RGB, nearest neighbor, 14.000000, 0.455333 
bag of sift, 20, 5, RGB, nearest neighbor, 15.000000, 0.453333 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 10.000000, 0.240667 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 1.000000, 0.288000 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.100000, 0.370667 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.010000, 0.259333 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.001000, 0.361333 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000100, 0.364667 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000010, 0.366000 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000110, 0.263333 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000010, 0.380000 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000020, 0.200000 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000030, 0.420667 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000040, 0.134667 
bag of sift, 30, 5, GRAYSCALE, support vector machine, 0.000050, 0.331333 
bag of sift, 30, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.425333 
bag of sift, 30, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.390000 
bag of sift, 30, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.424667 
