                !--TOO MANY VARIABLES, TOO SLOW, COULD NOT BE FINISHED--!

FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 10.000000, 0.243333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 1.000000, 0.210667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.100000, 0.264000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.010000, 0.213333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.001000, 0.278000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000100, 0.130000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000010, 0.300667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000110, 0.158667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000010, 0.221333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000020, 0.217333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000030, 0.134000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000040, 0.302000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000050, 0.219333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.337333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.322667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.341333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.364667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.378000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.379333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.381333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.381333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.382667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.388667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.391333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.396667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.390000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.393333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.404667 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 10.000000, 0.080667 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 1.000000, 0.291333 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.100000, 0.226667 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.010000, 0.142667 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.001000, 0.186000 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000100, 0.282000 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000010, 0.257333 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000110, 0.156667 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000010, 0.103333 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000020, 0.140000 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000030, 0.193333 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000040, 0.282000 
spatial pyramid, 10, 10, 5, GRAYSCALE, support vector machine, 0.000050, 0.234667 
spatial pyramid, 10, 10, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.312667 
spatial pyramid, 10, 10, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.293333 
spatial pyramid, 10, 10, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.312000 
spatial pyramid, 10, 10, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.332667 
