FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 10.000000, 0.102667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 1.000000, 0.178667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.100000, 0.173333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.010000, 0.229333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.001000, 0.102667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000100, 0.136000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000010, 0.226667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000110, 0.233333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000010, 0.074667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000020, 0.219333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000030, 0.183333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000040, 0.287333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000050, 0.120000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.362667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.349333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.349333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.361333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.376667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.370000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.378667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.382000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.392667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.386667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.394000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.398000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.400000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.406667 
