bag of sift, 100, 5, GRAYSCALE, support vector machine, 10.000000, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 1.000000, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.100000, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.010000, 0.074000 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.001000, 0.068667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000100, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000010, 0.078667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000110, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000010, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000020, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000030, 0.069333 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000040, 0.066667 
bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000050, 0.066667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.083333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.083333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.078667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.078667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.074000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.080000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.082667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.086000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.086000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.084667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.088000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.083333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.094000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.090000 
