FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.566000 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.571333 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.514667 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.514667 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.493333 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.512000 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.482000 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.426000 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.509333 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.451333 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.490000 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.442000 
bag of sift, 100, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.479333 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.590667 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.566667 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.511333 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.510000 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.527333 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.462667 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.518667 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.498667 
bag of sift, 100, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.482667 
