FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.429333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.528000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.483333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.488000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.505333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.476000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.480667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.471333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.524000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.523333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.498667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.452667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.494000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 1, 0.476000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 2, 0.448000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 3, 0.476000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 4, 0.486667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 5, 0.485333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 6, 0.494000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 7, 0.495333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 8, 0.500667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 9, 0.497333 
