FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.566667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.600000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.533333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.492667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.499333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.495333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.494667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.524667 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.492000 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.515333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.439333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.523333 
spatial pyramid, 100, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.462000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.579333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.669333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.655333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.653333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.654000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.651333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.652000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.654000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.654667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.655333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.652667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.654000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.654000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 10.000000, 0.639333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 1.000000, 0.562667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.100000, 0.504000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.010000, 0.534000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.001000, 0.500667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000100, 0.516667 
