FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy

spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 1, 0.490667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 2, 0.454667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 3, 0.482667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 4, 0.510667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 5, 0.514667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 6, 0.514667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 7, 0.514000 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 8, 0.509333 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 9, 0.508000 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 10, 0.504667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 11, 0.504667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 12, 0.505333 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 13, 0.512667 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 14, 0.511333 
spatial pyramid, 100, 1, 5, 10, RGB, 1, nearest neighbor, 15, 0.506667 

spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 1, 0.506667 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 2, 0.485333 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 3, 0.502000 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 4, 0.522667 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 5, 0.529333 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 6, 0.538667 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 7, 0.533333 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 8, 0.540667 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 9, 0.538667 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 10, 0.539333 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 11, 0.524667 
spatial pyramid, 1000, 1, 5, 10, RGB, 1, nearest neighbor, 12, 0.534667 
